11/1/2014 2:30:02 AM AccAPBatch Complete
11/1/2014 2:30:02 AM AccAPBatchDetail Complete
11/1/2014 2:30:03 AM AccBankRec Complete
11/1/2014 2:30:03 AM AccBanks Complete
11/1/2014 2:30:03 AM AccBegBal Complete
11/1/2014 2:30:03 AM AccCCDefaults Complete
11/1/2014 2:30:03 AM AccChart Complete
11/1/2014 2:30:03 AM AccCompanies Complete
11/1/2014 2:30:03 AM AccCoOp Complete
11/1/2014 2:30:03 AM AccDisbursement Complete
11/1/2014 2:30:03 AM AccInvoices Complete
11/1/2014 2:30:03 AM AccJournalChecks Complete
11/1/2014 2:30:03 AM AccJournals Complete
11/1/2014 2:37:03 AM AccMonthEnd Complete
11/1/2014 2:37:05 AM AccTrans Complete
11/1/2014 2:37:08 AM AccTransDetail Complete
11/1/2014 2:37:16 AM AccTransDetailHistory Complete
11/1/2014 2:37:18 AM AccTransHistory Complete
11/1/2014 2:37:18 AM AccTransImport Complete
11/1/2014 2:37:18 AM Brands Complete
11/1/2014 2:37:19 AM CityCodes Complete
11/1/2014 2:37:19 AM CodeList Complete
11/1/2014 2:37:19 AM ExchRates Complete
11/1/2014 2:37:20 AM Inventory Complete
11/1/2014 2:37:20 AM Markets Complete
11/1/2014 2:38:58 AM MrkAddress Complete
11/1/2014 2:38:58 AM MrkContactPromotions Complete
11/1/2014 2:38:58 AM MrkContactReview Complete
11/1/2014 2:41:07 AM MrkContacts Complete
11/1/2014 2:41:08 AM MrkCustomers Complete
11/1/2014 2:41:08 AM MrkFeedback Complete
11/1/2014 2:41:08 AM MrkSegment Complete
11/1/2014 2:41:08 AM MrkFeedbackAnswer Complete
11/1/2014 2:43:01 AM MrkSubscriptionHistory Complete
11/1/2014 2:43:01 AM MrkSubscriptionLists Complete
11/1/2014 2:43:01 AM MrkSurvey Complete
11/1/2014 2:43:01 AM MrkSurveyQuestion Complete
11/1/2014 2:43:01 AM MrkTerritory Complete
11/1/2014 2:43:01 AM Product Complete
11/1/2014 2:43:02 AM ProductDetail Complete
11/1/2014 2:43:04 AM ProductPrices Complete
11/1/2014 2:43:04 AM ProductShopHistory Complete
11/1/2014 2:43:29 AM ResGeneral Complete
11/1/2014 2:43:40 AM ResItinerary Complete
11/1/2014 2:43:42 AM ResMemos Complete
11/1/2014 2:44:02 AM ResPassengers Complete
11/1/2014 2:44:04 AM SupplierRates Complete
11/1/2014 2:44:04 AM Suppliers Complete
11/1/2014 2:44:05 AM SupplierServices Complete
11/1/2014 2:44:05 AM Users Complete
11/1/2014 2:44:05 AM MrkBrochureCode Complete
11/1/2014 2:44:05 AM MrkCampaign Complete
11/1/2014 2:44:05 AM MrkChannel Complete
11/1/2014 2:44:05 AM MrkBrochureRequest Complete
11/1/2014 2:44:05 AM MrkBlastDetail Complete
11/2/2014 2:30:02 AM Connected to IEST
11/2/2014 2:30:02 AM -----------------------------------
11/2/2014 2:30:02 AM AccAPBatch Complete
11/2/2014 2:30:02 AM AccAPBatchDetail Complete
11/2/2014 2:30:02 AM AccBankRec Complete
11/2/2014 2:30:02 AM AccBanks Complete
11/2/2014 2:30:02 AM AccBegBal Complete
11/2/2014 2:30:02 AM AccCCDefaults Complete
11/2/2014 2:30:02 AM AccChart Complete
11/2/2014 2:30:03 AM AccCompanies Complete
11/2/2014 2:30:03 AM AccCoOp Complete
11/2/2014 2:30:03 AM AccDisbursement Complete
11/2/2014 2:30:03 AM AccInvoices Complete
11/2/2014 2:30:03 AM AccJournalChecks Complete
11/2/2014 2:30:03 AM AccJournals Complete
11/2/2014 2:36:16 AM AccMonthEnd Complete
11/2/2014 2:36:18 AM AccTrans Complete
11/2/2014 2:36:22 AM AccTransDetail Complete
11/2/2014 2:36:30 AM AccTransDetailHistory Complete
11/2/2014 2:36:32 AM AccTransHistory Complete
11/2/2014 2:36:32 AM AccTransImport Complete
11/2/2014 2:36:32 AM Brands Complete
11/2/2014 2:36:32 AM CityCodes Complete
11/2/2014 2:36:33 AM CodeList Complete
11/2/2014 2:36:33 AM ExchRates Complete
11/2/2014 2:36:34 AM Inventory Complete
11/2/2014 2:36:34 AM Markets Complete
11/2/2014 2:38:19 AM MrkAddress Complete
11/2/2014 2:38:19 AM MrkContactPromotions Complete
11/2/2014 2:38:19 AM MrkContactReview Complete
11/2/2014 2:40:29 AM MrkContacts Complete
11/2/2014 2:40:30 AM MrkCustomers Complete
11/2/2014 2:40:30 AM MrkFeedback Complete
11/2/2014 2:40:30 AM MrkSegment Complete
11/2/2014 2:40:30 AM MrkFeedbackAnswer Complete
11/2/2014 2:42:27 AM MrkSubscriptionHistory Complete
11/2/2014 2:42:27 AM MrkSubscriptionLists Complete
11/2/2014 2:42:27 AM MrkSurvey Complete
11/2/2014 2:42:27 AM MrkSurveyQuestion Complete
11/2/2014 2:42:27 AM MrkTerritory Complete
11/2/2014 2:42:27 AM Product Complete
11/2/2014 2:42:28 AM ProductDetail Complete
11/2/2014 2:42:29 AM ProductPrices Complete
11/2/2014 2:42:29 AM ProductShopHistory Complete
11/2/2014 2:42:55 AM ResGeneral Complete
11/2/2014 2:43:05 AM ResItinerary Complete
11/2/2014 2:43:08 AM ResMemos Complete
11/2/2014 2:43:31 AM ResPassengers Complete
11/2/2014 2:43:33 AM SupplierRates Complete
11/2/2014 2:43:33 AM Suppliers Complete
11/2/2014 2:43:34 AM SupplierServices Complete
11/2/2014 2:43:34 AM Users Complete
11/2/2014 2:43:34 AM MrkBrochureCode Complete
11/2/2014 2:43:34 AM MrkCampaign Complete
11/2/2014 2:43:34 AM MrkChannel Complete
11/2/2014 2:43:34 AM MrkBrochureRequest Complete
11/2/2014 2:43:34 AM MrkBlastDetail Complete
11/3/2014 2:30:01 AM Connected to IEST
11/3/2014 2:30:01 AM -----------------------------------
11/3/2014 2:30:01 AM AccAPBatch Complete
11/3/2014 2:30:01 AM AccAPBatchDetail Complete
11/3/2014 2:30:01 AM AccBankRec Complete
11/3/2014 2:30:01 AM AccBanks Complete
11/3/2014 2:30:02 AM AccBegBal Complete
11/3/2014 2:30:02 AM AccCCDefaults Complete
11/3/2014 2:30:02 AM AccChart Complete
11/3/2014 2:30:02 AM AccCompanies Complete
11/3/2014 2:30:02 AM AccCoOp Complete
11/3/2014 2:30:02 AM AccDisbursement Complete
11/3/2014 2:30:02 AM AccInvoices Complete
11/3/2014 2:30:02 AM AccJournalChecks Complete
11/3/2014 2:30:02 AM AccJournals Complete
11/3/2014 2:36:33 AM AccMonthEnd Complete
11/3/2014 2:36:35 AM AccTrans Complete
11/3/2014 2:36:38 AM AccTransDetail Complete
11/3/2014 2:36:47 AM AccTransDetailHistory Complete
11/3/2014 2:36:48 AM AccTransHistory Complete
11/3/2014 2:36:48 AM AccTransImport Complete
11/3/2014 2:36:48 AM Brands Complete
11/3/2014 2:36:49 AM CityCodes Complete
11/3/2014 2:36:49 AM CodeList Complete
11/3/2014 2:36:49 AM ExchRates Complete
11/3/2014 2:36:50 AM Inventory Complete
11/3/2014 2:36:50 AM Markets Complete
11/3/2014 2:38:35 AM MrkAddress Complete
11/3/2014 2:38:35 AM MrkContactPromotions Complete
11/3/2014 2:38:35 AM MrkContactReview Complete
11/3/2014 2:40:43 AM MrkContacts Complete
11/3/2014 2:40:44 AM MrkCustomers Complete
11/3/2014 2:40:44 AM MrkFeedback Complete
11/3/2014 2:40:44 AM MrkSegment Complete
11/3/2014 2:40:44 AM MrkFeedbackAnswer Complete
11/3/2014 2:42:38 AM MrkSubscriptionHistory Complete
11/3/2014 2:42:38 AM MrkSubscriptionLists Complete
11/3/2014 2:42:38 AM MrkSurvey Complete
11/3/2014 2:42:38 AM MrkSurveyQuestion Complete
11/3/2014 2:42:39 AM MrkTerritory Complete
11/3/2014 2:42:39 AM Product Complete
11/3/2014 2:42:40 AM ProductDetail Complete
11/3/2014 2:42:41 AM ProductPrices Complete
11/3/2014 2:42:41 AM ProductShopHistory Complete
11/3/2014 2:43:06 AM ResGeneral Complete
11/3/2014 2:43:16 AM ResItinerary Complete
11/3/2014 2:43:18 AM ResMemos Complete
11/3/2014 2:43:41 AM ResPassengers Complete
11/3/2014 2:43:42 AM SupplierRates Complete
11/3/2014 2:43:42 AM Suppliers Complete
11/3/2014 2:43:43 AM SupplierServices Complete
11/3/2014 2:43:43 AM Users Complete
11/3/2014 2:43:43 AM MrkBrochureCode Complete
11/3/2014 2:43:43 AM MrkCampaign Complete
11/3/2014 2:43:43 AM MrkChannel Complete
11/3/2014 2:43:43 AM MrkBrochureRequest Complete
11/3/2014 2:43:43 AM MrkBlastDetail Complete
11/4/2014 2:30:02 AM Connected to IEST
11/4/2014 2:30:02 AM -----------------------------------
11/4/2014 2:30:02 AM AccAPBatch Complete
11/4/2014 2:30:02 AM AccAPBatchDetail Complete
11/4/2014 2:30:02 AM AccBankRec Complete
11/4/2014 2:30:02 AM AccBanks Complete
11/4/2014 2:30:02 AM AccBegBal Complete
11/4/2014 2:30:02 AM AccCCDefaults Complete
11/4/2014 2:30:03 AM AccChart Complete
11/4/2014 2:30:03 AM AccCompanies Complete
11/4/2014 2:30:03 AM AccCoOp Complete
11/4/2014 2:30:03 AM AccDisbursement Complete
11/4/2014 2:30:03 AM AccInvoices Complete
11/4/2014 2:30:03 AM AccJournalChecks Complete
11/4/2014 2:30:03 AM AccJournals Complete
11/4/2014 2:36:18 AM AccMonthEnd Complete
11/4/2014 2:36:19 AM AccTrans Complete
11/4/2014 2:36:23 AM AccTransDetail Complete
11/4/2014 2:36:33 AM AccTransDetailHistory Complete
11/4/2014 2:36:35 AM AccTransHistory Complete
11/4/2014 2:36:35 AM AccTransImport Complete
11/4/2014 2:36:35 AM Brands Complete
11/4/2014 2:36:35 AM CityCodes Complete
11/4/2014 2:36:36 AM CodeList Complete
11/4/2014 2:36:36 AM ExchRates Complete
11/4/2014 2:36:37 AM Inventory Complete
11/4/2014 2:36:37 AM Markets Complete
11/4/2014 2:38:23 AM MrkAddress Complete
11/4/2014 2:38:23 AM MrkContactPromotions Complete
11/4/2014 2:38:23 AM MrkContactReview Complete
11/4/2014 2:40:33 AM MrkContacts Complete
11/4/2014 2:40:34 AM MrkCustomers Complete
11/4/2014 2:40:34 AM MrkFeedback Complete
11/4/2014 2:40:34 AM MrkSegment Complete
11/4/2014 2:40:34 AM MrkFeedbackAnswer Complete
11/4/2014 2:42:32 AM MrkSubscriptionHistory Complete
11/4/2014 2:42:32 AM MrkSubscriptionLists Complete
11/4/2014 2:42:32 AM MrkSurvey Complete
11/4/2014 2:42:32 AM MrkSurveyQuestion Complete
11/4/2014 2:42:32 AM MrkTerritory Complete
11/4/2014 2:42:32 AM Product Complete
11/4/2014 2:42:34 AM ProductDetail Complete
11/4/2014 2:42:35 AM ProductPrices Complete
11/4/2014 2:42:35 AM ProductShopHistory Complete
11/4/2014 2:43:00 AM ResGeneral Complete
11/4/2014 2:43:11 AM ResItinerary Complete
11/4/2014 2:43:13 AM ResMemos Complete
11/4/2014 2:43:37 AM ResPassengers Complete
11/4/2014 2:43:38 AM SupplierRates Complete
11/4/2014 2:43:38 AM Suppliers Complete
11/4/2014 2:43:39 AM SupplierServices Complete
11/4/2014 2:43:39 AM Users Complete
11/4/2014 2:43:39 AM MrkBrochureCode Complete
11/4/2014 2:43:39 AM MrkCampaign Complete
11/4/2014 2:43:39 AM MrkChannel Complete
11/4/2014 2:43:39 AM MrkBrochureRequest Complete
11/4/2014 2:43:39 AM MrkBlastDetail Complete
11/5/2014 2:30:01 AM Connected to IEST
11/5/2014 2:30:01 AM -----------------------------------
11/5/2014 2:30:01 AM AccAPBatch Complete
11/5/2014 2:30:01 AM AccAPBatchDetail Complete
11/5/2014 2:30:01 AM AccBankRec Complete
11/5/2014 2:30:01 AM AccBanks Complete
